@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
131,'2024/04/05 09:32:54:030',8,0.69,0.319,-0.011,-0.016,1.07,-5.145,3.573,0.214,1
132,'2024/04/05 09:32:54:336',8,-2.873,-3.203,-0.047,0.047,1.13,-4.794,3.313,-7.756,1
133,'2024/04/05 09:32:54:644',8,-1.18,-0.799,-0.043,-0.031,0.962,25.099001,-112.595001,0.611,1
134,'2024/04/05 09:32:54:951',8,-0.439,4.321,-0.049,0.014,0.886,6.58,36.595001,4.305,1
135,'2024/04/05 09:32:55:258',8,-1.198,5.566,-0.116,-0.018,1.087,-6.29,-12.26,-1.985,1
136,'2024/04/05 09:32:55:565',8,-2.182,4.97,-0.086,-0.076,0.995,-8.183,-46.580002,-2.84,1
137,'2024/04/05 09:32:55:872',8,-2.681,0.518,-0.007,-0.078,1.074,-1.573,1.45,0.504,1
138,'2024/04/05 09:32:56:180',8,-2.552,7.329,-0.2,-0.032,1.029,4.672,7.802,-8.168,1
139,'2024/04/05 09:32:56:488',8,5.461,1.611,-0.021,0.081,1.046,10.458,6.84,1.511,1
140,'2024/04/05 09:32:56:897',8,1.323,3.612,-0.04,-0.007,1.21,-22.275,-18.855,-8.107,1
141,'2024/04/05 09:32:57:204',8,-3.513,0.251,-0.016,-0.065,1.068,-2.947,2.794,-5.008,1
142,'2024/04/05 09:32:57:512',8,-2.554,-2.456,0.056,-0.055,1.055,-2.489,-26.229,-0.962,1
143,'2024/04/05 09:32:57:818',8,-3.029,3.814,-0.121,-0.06,1.077,-1.939,14.305,-0.275,1
144,'2024/04/05 09:32:58:072',8,-0.812,1.497,-0.062,-0.014,1.064,-2.809,-14,4.473,1
145,'2024/04/05 09:32:58:432',8,5.432,-0.863,-0.019,0.124,1.113,-11.45,26.336,-12.626,1
146,'2024/04/05 09:32:58:740',8,-4.773,3.888,-0.065,-0.029,1.267,-22.275,-0.824,-7.237,1
147,'2024/04/05 09:32:59:047',8,-2.167,1.99,-0.093,-0.01,0.968,14,-11.74,16.031,1
148,'2024/04/05 09:32:59:354',8,0.822,-0.108,-0.04,0.024,0.822,10.229,105.695,17.985001,1
149,'2024/04/05 09:32:59:764',8,-3.154,3.315,-0.085,-0.074,1.188,-11.618,33.282001,-18.214001,1
150,'2024/04/05 09:33:00:071',8,-1.556,4.028,-0.044,0.003,1.09,-0.962,35.466,-16.809,1
151,'2024/04/05 09:33:00:287',8,-2.926,8.158,-0.138,-0.046,1.116,0.153,26.243999,-10.137,1
152,'2024/04/05 09:33:00:685',8,-0.255,-2.993,0.039,-0.01,1.144,-2.107,7.817,-3.878,1
153,'2024/04/05 09:33:00:992',8,0.934,0.106,-0.006,0.024,1.097,-2.351,-2.122,-2.595,1
154,'2024/04/05 09:33:01:245',8,0.206,2.187,-0.036,-0.013,1.053,-3.679,9.221,0.855,1
155,'2024/04/05 09:33:01:573',8,-1.578,2.091,-0.034,-0.009,0.959,-0.687,3.985,-2.168,1
156,'2024/04/05 09:33:01:914',8,-1.003,-0.741,0.027,-0.019,0.953,-21.603001,-26.641001,16.763,1
157,'2024/04/05 09:33:02:221',8,0.887,-5.621,0.082,0.04,0.808,21.496,63.206001,99.144997,1
158,'2024/04/05 09:33:02:528',8,3.432,-4.862,0.058,0.037,1.071,-6.229,-5.603,3.786,1
159,'2024/04/05 09:33:10:515',9,-179.192001,-178.919998,0.022,-0.01,-0.93,-2.412,1.42,-1.893,2
160,'2024/04/05 09:33:10:824',9,-179.190002,-178.748001,0.009,-0.029,-0.936,-2.947,2.687,-1.42,2
161,'2024/04/05 09:33:11:130',9,-176.987,178.774002,-0.018,-0.018,-0.939,-20.26,-62.167999,-2.504,2
162,'2024/04/05 09:33:11:539',9,-178.210007,177.029007,-0.047,-0.034,-0.911,-11.45,-26.947001,-1.695,2
163,'2024/04/05 09:33:11:847',9,180,165.949997,-0.238,0.009,-0.932,7.298,57.145,4.382,2
164,'2024/04/05 09:33:12:154',9,-178.651993,173.248001,-0.148,0.013,-0.914,13.649,31.74,45.480999,2
165,'2024/04/05 09:33:12:461',9,176.417999,166.897003,-0.136,-0.01,-0.994,-3.557,-7.817,47.389,2
166,'2024/04/05 09:33:12:768',9,-179.660004,179.613998,-0.025,0.038,-0.997,12.229,16.641001,-13.359,2
167,'2024/04/05 09:33:13:075',9,-178.481995,172.746994,-0.102,-0.048,-0.795,1.389,87.434998,-136.809006,2
168,'2024/04/05 09:33:13:383',9,-178.707001,170.518997,-0.152,0,-0.98,0.687,23.587999,-13.71,2
169,'2024/04/05 09:33:13:664',9,-178.167007,178.078003,-0.016,-0.054,-0.939,-22.076,-22.061001,10.336,2
170,'2024/04/05 09:33:13:997',9,179.822998,-175.785995,0.03,0.003,-0.756,4.198,17.481001,2.687,2
171,'2024/04/05 09:33:14:407',9,-176.843994,-179.514008,-0.009,-0.06,-0.959,-3.725,-0.794,-5.511,2
172,'2024/04/05 09:33:14:714',9,-172.901993,175.259995,-0.081,-0.095,-1.086,2.519,13.924,1.16,2
173,'2024/04/05 09:33:15:021',9,-173.070999,-178.727997,0.008,-0.117,-0.854,-9.084,-5.573,2.534,2
174,'2024/04/05 09:33:15:328',9,-174.776993,178.429993,-0.043,-0.082,-0.924,-6.031,-0.992,-2.137,2
175,'2024/04/05 09:33:15:738',9,-175.488998,175.953003,-0.085,-0.058,-0.988,5.084,8.931,-2.779,2
176,'2024/04/05 09:33:15:944',9,-173.481995,172.598999,-0.114,-0.115,-0.898,-8.305,2.824,-10.183,2
177,'2024/04/05 09:33:16:250',9,-171.886993,-177.707001,0.025,-0.111,-0.896,-7.115,-11.282,-0.26,2
178,'2024/04/05 09:33:16:557',9,-175.462997,179.046005,-0.005,-0.15,-0.906,8.092,28.305,5.13,2
179,'2024/04/05 09:33:16:864',9,-176.518997,179.063004,-0.031,-0.065,-0.937,-8.565,5.74,-2.687,2
180,'2024/04/05 09:33:17:167',9,-178.218002,-179.108994,0.008,-0.025,-0.928,-6.458,4.702,-3.023,2
181,'2024/04/05 09:33:17:581',9,-179.070999,-178.772995,0.015,-0.018,-0.923,-2.824,3.634,-2.198,2
182,'2024/04/05 09:33:17:888',9,-178.884995,-179.938004,0.016,-0.023,-0.949,-3.084,3.74,-2.168,2
183,'2024/04/05 09:33:18:195',9,-179.186996,-179.690994,0.039,-0.013,-0.933,-4.214,5.176,-1.679,2
184,'2024/04/05 09:33:18:502',9,-178.177994,-177.328003,0.022,-0.026,-0.902,-1.069,1.893,-2.412,2
185,'2024/04/05 09:33:18:810',9,-176.882004,-178.384995,0.017,-0.056,-0.984,0.992,13.985,-0.992,2
186,'2024/04/05 09:33:19:117',9,-175.552994,-178.544998,0.021,-0.028,-1.027,2.412,3.893,0.183,2
187,'2024/04/05 09:33:19:424',9,-179.578003,-179.934006,0.033,-0.018,-0.948,-4.58,-3.557,-1.237,2
188,'2024/04/05 09:33:27:411',10,16.504,20.007999,-0.547,0.425,0.955,199.557007,43.679001,126.488998,3
189,'2024/04/05 09:33:27:706',10,11.354,32.134998,-2,1.569,1.984,-240.182999,-46.946999,-260.183014,3
190,'2024/04/05 09:33:28:128',10,13.969,27.299999,-2,1.901,1.984,-256.946991,159.785995,-439.252014,3
191,'2024/04/05 09:33:28:435',10,30.150999,29.985001,-0.624,1.031,-0.204,269.221008,157.679001,182.214005,3
192,'2024/04/05 09:33:28:810',10,30.872,-33.373001,0.941,0.819,0.633,-19.252001,148.289993,-296.533997,3
193,'2024/04/05 09:33:28:992',10,-32.112,28.646,-2,-2,1.085,-64.213997,73.237,-463.756012,3
194,'2024/04/05 09:33:29:459',10,-42.562,36.131001,-0.621,-1.022,0.886,-79.877998,129.251999,496.351013,3
195,'2024/04/05 09:33:29:664',10,46.740002,-47.751999,1.984,1.895,-0.397,28.611,-178.886002,300.09201,3
196,'2024/04/05 09:33:30:176',10,4.052,-33.481998,0.149,-1.775,1.798,-76.350998,70.197998,-500.274994,3
197,'2024/04/05 09:33:30:381',10,-63.527,39.122002,-0.09,-1.691,1.96,-26.976999,-1.206,496.351013,3
198,'2024/04/05 09:33:30:688',10,52.304001,-86.797997,1.984,0.794,-0.543,100.228996,-149.878006,-315.95401,3
199,'2024/04/05 09:33:30:987',10,-25.115999,40.813,-2,-1.751,-0.587,68.260002,33.084,-418.015015,3
200,'2024/04/05 09:33:31:360',10,5.942,-29.561001,1.984,1.984,0.625,-256.778992,65.191002,496.351013,3
201,'2024/04/05 09:33:31:591',10,-41.709999,55.764999,-2,-2,-0.57,237.449997,-160.046005,-167.968994,3
202,'2024/04/05 09:33:31:917',10,45.216999,-59.599998,1.984,1.976,-1.463,0.061,-34.580002,496.351013,3
203,'2024/04/05 09:33:32:156',10,-17.757,14.548,-2,-1.695,1.984,-155.175995,60.717999,-500.274994,3
204,'2024/04/05 09:33:32:531',10,-57.462002,45.608002,-1.377,-1.796,1.063,70.655998,72.443001,456.962006,3
205,'2024/04/05 09:33:32:840',10,69.952011,-84.75901,1.984,1.304,-0.793,123.527,-181.069,-43.724998,3
206,'2024/04/05 09:33:33:109',10,-22.686001,30.094,-2,-1.721,1.984,-125.328003,9.588,-500.274994,3
207,'2024/04/05 09:33:33:453',10,-50.508999,48.091999,-0.863,-1.514,0.966,50.458,6.351,496.351013,3
208,'2024/04/05 09:33:33:742',10,59.900002,-82.903,1.984,0.944,-0.26,56,-100.686996,-174.809006,3
209,'2024/04/05 09:33:34:068',10,-19.093,29.334,-2,-1.477,0.654,6.076,-73.817001,-500.274994,3
210,'2024/04/05 09:33:34:478',10,-43.167,25.52,0.15,-0.934,1.677,-23.007999,106.565002,496.351013,3
211,'2024/04/05 09:33:34:784',10,62.063,-81.626999,1.984,1.121,-0.317,47.237,-149.052994,-65.771004,3
212,'2024/04/05 09:33:35:012',10,-17.285,30.399,-2,-1.577,1.3,-46.977001,-48.198002,-500.274994,3
213,'2024/04/05 09:33:45:024',11,42.758999,-6.077,0.159,1.019,0.835,-71.251999,-9.695,-102.808998,4
214,'2024/04/05 09:33:45:250',11,50.166,5.277,-0.082,0.96,0.66,43.847,-24.243999,-24.931,4
215,'2024/04/05 09:33:45:638',11,59.775002,7.811,-0.154,0.874,0.238,67.221001,1.74,36.855,4
216,'2024/04/05 09:33:45:945',11,64.109001,-27.481001,0.461,0.685,0.155,12.031,40.916,89.449997,4
217,'2024/04/05 09:33:46:204',11,41.875999,-26.240999,0.602,0.505,0.555,-8.351,136.550003,23.007999,4
218,'2024/04/05 09:33:46:560',11,14.317,-41.981998,1.024,0.418,0.775,11.527,39.695,47.037998,4
219,'2024/04/05 09:33:46:867',11,18.483,-35.063,0.772,0.458,0.592,39.145,4.626,-29.038,4
220,'2024/04/05 09:33:47:171',11,28.316,-32.729,0.687,0.586,0.359,38.014999,-21.618,-59.435001,4
221,'2024/04/05 09:33:47:584',11,84.226997,-1.475,-0.065,0.709,0.114,-2.107,-31.709999,-68.045998,4
222,'2024/04/05 09:33:47:800',11,44.585999,-9.353,0.154,0.776,0.6,-81.679001,-22.443001,-20.26,4
223,'2024/04/05 09:33:48:198',11,31.721001,-17.035999,0.427,0.777,0.831,-36.534,-44.275002,-49.466,4
224,'2024/04/05 09:33:48:505',11,31.573,8.013,-0.198,0.859,0.918,12.107,-16.458,-71.771011,4
225,'2024/04/05 09:33:48:813',11,43.612,12.221,-0.373,0.878,0.514,78.580002,0.412,22.290001,4
226,'2024/04/05 09:33:49:120',11,96.608002,-12.043,0.18,0.565,-0.085,61.022999,43.344002,101.527,4
227,'2024/04/05 09:33:49:632',11,16.992001,-64.776001,0.666,0.324,0.077,20.275,41.924,76.671997,4
228,'2024/04/05 09:33:49:733',11,9.292,-51.153,1.155,0.297,0.676,6.626,27.603001,49.221001,4
229,'2024/04/05 09:33:50:045',11,10.653,-43.27,0.99,0.286,0.66,38.702,27.16,-28.396999,4
230,'2024/04/05 09:33:50:370',11,21.851999,-47.610001,0.786,0.429,0.224,64.671997,-37.251999,-58.229,4
231,'2024/04/05 09:33:50:758',11,37.914001,-34.610001,0.522,0.658,0.181,12.122,-20.549999,-81.237,4
232,'2024/04/05 09:33:50:995',11,92.078011,-2.098,0.126,0.816,0.297,-50.396999,-23.785999,-16.855,4
233,'2024/04/05 09:33:51:373',11,48.187,-8.493,0.403,0.951,0.689,-82.26001,-16.823999,-3.634,4
234,'2024/04/05 09:33:51:680',11,39.472,-13.409,0.464,0.89,0.83,-23.115,-52.396999,-36.366001,4
235,'2024/04/05 09:33:51:987',11,52.571999,-1.381,0.116,0.957,0.74,40.153,-34.473,-15.588,4
236,'2024/04/05 09:33:52:280',11,63.898998,-5.265,0.081,0.773,0.129,72.778999,12.794,43.313,4
237,'2024/04/05 09:33:52:704',11,35.667999,-49.716,0.692,0.461,0.084,28.504,35.282001,85.49601,4
238,'2024/04/05 09:33:53:011',11,20.337999,-45.792,0.808,0.362,0.51,-1.634,77.892998,24.320999,4
239,'2024/04/05 09:33:53:250',11,11.842,-44.404999,1.288,0.418,0.71,37.588001,54.687,-20.687,4
240,'2024/04/05 09:33:53:625',11,26.780001,-37.752998,0.774,0.61,0.41,38.259998,20.014999,-68.458,4
241,'2024/04/05 09:33:53:934',11,43.071999,-24.804001,0.33,0.738,0.124,4.947,-41.175999,-60.106998,4
242,'2024/04/05 09:33:54:240',11,59.262001,-6.179,0.195,0.852,0.12,-83.113998,-1.618,2.046,4
243,'2024/04/05 09:33:54:547',11,34.160999,-16.559999,0.362,0.845,0.759,-84.350998,-13.786,7.863,4
244,'2024/04/05 09:33:54:854',11,28.309999,-15.804,0.534,0.799,1.014,-13.618,-41.618,-75.191002,4
245,'2024/04/05 09:33:55:172',11,50.726002,-2.564,0.106,0.832,0.571,67.511002,-22.672001,-6.29,4
246,'2024/04/05 09:33:55:571',11,76.375999,-13.839,0.217,0.548,0.097,75.313011,39.480999,69.542,4
247,'2024/04/05 09:33:55:878',11,14.845,-59.683998,0.641,0.265,0.102,12.275,70.991997,72.855011,4
248,'2024/04/05 09:33:56:127',11,9.071,-48.709999,1.14,0.246,0.65,26.458,35.084,15.42,4
249,'2024/04/05 09:34:03:046',12,-5.745,-4.236,0.105,-0.107,1.067,4.779,-0.305,0.305,5
250,'2024/04/05 09:34:03:047',12,-2.855,-2.849,0.026,-0.053,1.125,-0.397,17.084,-4.947,5
251,'2024/04/05 09:34:03:047',12,-1.059,-0.724,-0.056,0.001,1.108,2.092,2.489,4.977,5
252,'2024/04/05 09:34:03:047',12,-2.277,-2.677,0.052,-0.049,0.907,-27.389,-70.228996,3.008,5
253,'2024/04/05 09:34:03:047',12,1.371,4.916,-0.044,0.047,1.139,27.191,20.229,21.878,5
254,'2024/04/05 09:34:03:251',12,13.606,2.225,-0.027,0.286,1.004,37.221001,-70.014999,37.221001,5
255,'2024/04/05 09:34:03:558',12,23.337,-11.157,0.205,0.396,0.83,34.824001,-14.87,9.969,5
256,'2024/04/05 09:34:03:865',12,22.915001,-13.339,0.321,0.52,0.882,5.069,-9.145,-4.305,5
257,'2024/04/05 09:34:04:173',12,29.875999,-14.658,0.31,0.492,0.607,6.015,-5.176,-9.511,5
258,'2024/04/05 09:34:04:480',12,42.766998,-19.889,0.159,0.301,0.74,-24.641001,108.412003,10.489,5
259,'2024/04/05 09:34:04:787',12,14.783,0.041,-0.023,0.27,1.054,-49.191002,44.061001,-13.252,5
260,'2024/04/05 09:34:05:063',12,3.113,-11.31,0.108,0.056,1.195,-26.870001,-0.702,-17.802,5
261,'2024/04/05 09:34:05:504',12,0.926,4.293,-0.152,0.042,1.238,-31.603001,30.809,-21.344,5
262,'2024/04/05 09:34:05:811',12,0.719,4.349,-0.085,0.027,1.258,23.695,-23.802,16.641001,5
263,'2024/04/05 09:34:06:081',12,8.967,2.743,-0.029,0.155,1.059,44.061001,16.504,16.518999,5
264,'2024/04/05 09:34:06:425',12,16.556,-4.316,0.088,0.281,0.832,34.916,3.878,6.779,5
265,'2024/04/05 09:34:06:732',12,29.535,-1.029,-0.008,0.483,0.926,1.832,-10.809,-22.336,5
266,'2024/04/05 09:34:06:990',12,30.563999,-6.383,0.159,0.425,0.627,5.618,4.107,-2.489,5
267,'2024/04/05 09:34:07:347',12,15.37,-0.4,-0.031,0.323,0.831,-45.817001,22.351,8.504,5
268,'2024/04/05 09:34:07:654',12,5.55,4.574,-0.093,0.067,1.125,-74.458,-13.924,-9.74,5
269,'2024/04/05 09:34:08:270',12,-3.688,0.511,-0.063,-0.06,1.489,-31.802,17.115,-18.916,5
270,'2024/04/05 09:34:08:278',12,-2.054,1.81,-0.079,-0.069,1.131,13.023,60.962002,-12.504,5
271,'2024/04/05 09:34:08:568',12,2.862,-0.472,-0.006,0.08,1.178,30.855,-79.251999,15.557,5
272,'2024/04/05 09:34:08:985',12,11.617,-5.582,0.117,0.229,1.004,29.878,25.205999,-0.168,5
273,'2024/04/05 09:34:09:293',12,20.854,-2,0.087,0.345,0.683,16.136999,-19.450001,-24.549999,5
274,'2024/04/05 09:34:09:600',12,18.386999,-10.336,0.143,0.454,0.553,-2.229,-0.336,-17.42,5
275,'2024/04/05 09:34:09:907',12,18.558001,-15.302,0.17,0.2,0.982,-52.748001,20.778999,19.725,5
276,'2024/04/05 09:34:10:171',12,0,1.782,-0.083,-0.012,1.354,-53.695,146.182999,4.321,5
277,'2024/04/05 09:34:10:521',12,-1.588,16.392,-0.312,-0.017,1.273,17.115,50.091999,-17.924,5
278,'2024/04/05 09:34:10:828',12,-4.325,11.022,-0.16,-0.01,1.239,-2.031,-31.007999,4.565,5
279,'2024/04/05 09:34:11:121',12,1.499,-5.499,0.099,0.043,1.491,33.450001,-18.794001,20.167999,5
280,'2024/04/05 09:34:11:545',12,7.802,-11.048,0.231,0.163,0.857,46.916,-28.641001,5.145,5
281,'2024/04/05 09:34:11:852',12,18.122,-6.751,0.192,0.371,0.897,-1.466,0.076,-17.573,5
282,'2024/04/05 09:34:12:079',12,35.611,-7.924,0.254,0.422,0.559,-13.481,-13.237,2.443,5
283,'2024/04/05 09:34:12:467',12,12.977,-6.357,0.11,0.213,0.961,-39.191002,-18.26,27.358999,5
284,'2024/04/05 09:34:12:774',12,0.592,-3.749,0.175,-0.09,1.386,-47.344002,-19.649,-4.031,5
